panel,method,row_order,row_label,row_type,col_order,col_label,col_type,value,value_label
capacity,CSPPO,6,M_WS,midstream,1,C1,product_color,0.3013879809113862,Production / capacity x 6
capacity,CSPPO,6,M_WS,midstream,2,C2,product_color,0.3569896315557168,Production / capacity x 6
capacity,CSPPO,6,M_WS,midstream,3,C3,product_color,0.34291580692274637,Production / capacity x 6
capacity,CSPPO,6,M_WS,midstream,4,C4,product_color,0.365651559203307,Production / capacity x 6
capacity,CSPPO,6,M_WS,midstream,5,C5,product_color,0.3248957154782418,Production / capacity x 6
capacity,CSPPO,7,M_HB,midstream,0,C0,product_color,0.2848034790321798,Production / capacity x 6
capacity,CSPPO,7,M_HB,midstream,1,C1,product_color,0.28691082898987863,Production / capacity x 6
capacity,CSPPO,7,M_HB,midstream,2,C2,product_color,0.3398416579875384,Production / capacity x 6
capacity,CSPPO,7,M_HB,midstream,3,C3,product_color,0.3264438685989462,Production / capacity x 6
capacity,CSPPO,7,M_HB,midstream,4,C4,product_color,0.3480875105079516,Production / capacity x 6
capacity,CSPPO,7,M_HB,midstream,5,C5,product_color,0.30928937106662335,Production / capacity x 6
capacity,CSPPO,8,M_GZ,midstream,0,C0,product_color,0.271749986243205,Production / capacity x 6
capacity,CSPPO,8,M_GZ,midstream,1,C1,product_color,0.27376074932784245,Production / capacity x 6
capacity,CSPPO,8,M_GZ,midstream,2,C2,product_color,0.32426558199644284,Production / capacity x 6
capacity,CSPPO,8,M_GZ,midstream,3,C3,product_color,0.3114818579548278,Production / capacity x 6
capacity,CSPPO,8,M_GZ,midstream,4,C4,product_color,,Production / capacity x 6
capacity,CSPPO,8,M_GZ,midstream,5,C5,product_color,0.2951136082260696,Production / capacity x 6
capacity,CSPPO,9,M_FQ,midstream,0,C0,product_color,0.32128077191314863,Production / capacity x 6
capacity,CSPPO,9,M_FQ,midstream,1,C1,product_color,0.32365802876198163,Production / capacity x 6
capacity,CSPPO,9,M_FQ,midstream,2,C2,product_color,0.3833681757593412,Production / capacity x 6
capacity,CSPPO,9,M_FQ,midstream,3,C3,product_color,0.3682544133456096,Production / capacity x 6
capacity,CSPPO,9,M_FQ,midstream,4,C4,product_color,0.39267014732177763,Production / capacity x 6
capacity,CSPPO,9,M_FQ,midstream,5,C5,product_color,0.3489027880505256,Production / capacity x 6
capacity,CSPPO,10,M_ZZ,midstream,0,C0,product_color,0.3047663397120054,Production / capacity x 6
capacity,CSPPO,10,M_ZZ,midstream,1,C1,product_color,0.30702140111533743,Production / capacity x 6
capacity,CSPPO,10,M_ZZ,midstream,2,C2,product_color,0.36366233494928163,Production / capacity x 6
capacity,CSPPO,10,M_ZZ,midstream,3,C3,product_color,0.34932544817363875,Production / capacity x 6
capacity,CSPPO,10,M_ZZ,midstream,4,C4,product_color,0.3724861677865458,Production / capacity x 6
capacity,CSPPO,10,M_ZZ,midstream,5,C5,product_color,0.3309685325899848,Production / capacity x 6
capacity,CSPPO,11,M_SY,midstream,0,C0,product_color,0.2898666519927522,Production / capacity x 6
capacity,CSPPO,11,M_SY,midstream,1,C1,product_color,0.2920114659496986,Production / capacity x 6
capacity,CSPPO,11,M_SY,midstream,2,C2,product_color,0.34588328746287245,Production / capacity x 6
capacity,CSPPO,11,M_SY,midstream,3,C3,product_color,0.3322473151518168,Production / capacity x 6
capacity,CSPPO,11,M_SY,midstream,4,C4,product_color,0.3542757329169816,Production / capacity x 6
capacity,CSPPO,11,M_SY,midstream,5,C5,product_color,0.3147878487744744,Production / capacity x 6
capacity,CSPPO,12,M_SZ,midstream,0,C0,product_color,0.27635591821342864,Production / capacity x 6
capacity,CSPPO,12,M_SZ,midstream,1,C1,product_color,0.2784007620283146,Production / capacity x 6
capacity,CSPPO,12,M_SZ,midstream,2,C2,product_color,,Production / capacity x 6
capacity,CSPPO,12,M_SZ,midstream,3,C3,product_color,0.316761211479486,Production / capacity x 6
capacity,CSPPO,12,M_SZ,midstream,4,C4,product_color,0.33776288095898643,Production / capacity x 6
capacity,CSPPO,12,M_SZ,midstream,5,C5,product_color,0.30011553378922323,Production / capacity x 6
capacity,CSPPO,13,M_CC,midstream,0,C0,product_color,0.2640485696290254,Production / capacity x 6
capacity,CSPPO,13,M_CC,midstream,1,C1,product_color,0.2660023475250294,Production / capacity x 6
capacity,CSPPO,13,M_CC,midstream,2,C2,product_color,0.315075869146341,Production / capacity x 6
capacity,CSPPO,13,M_CC,midstream,3,C3,product_color,0.3026544368791848,Production / capacity x 6
capacity,CSPPO,13,M_CC,midstream,4,C4,product_color,0.3227208093373314,Production / capacity x 6
capacity,CSPPO,13,M_CC,midstream,5,C5,product_color,0.2867500646731044,Production / capacity x 6
capacity,CSPPO,14,M_CQ,midstream,0,C0,product_color,0.3105714128493774,Production / capacity x 6
capacity,CSPPO,14,M_CQ,midstream,1,C1,product_color,0.3128694278032488,Production / capacity x 6
capacity,CSPPO,14,M_CQ,midstream,2,C2,product_color,0.3705892365673632,Production / capacity x 6
capacity,CSPPO,14,M_CQ,midstream,3,C3,product_color,0.35597926623408904,Production / capacity x 6
capacity,CSPPO,14,M_CQ,midstream,4,C4,product_color,0.3795811424110518,Production / capacity x 6
capacity,CSPPO,14,M_CQ,midstream,5,C5,product_color,0.33727269511550817,Production / capacity x 6
capacity,CSPPO,15,D_OEM1,downstream,0,C0,product_color,0.4793306120469798,Production / capacity x 6
capacity,CSPPO,15,D_OEM1,downstream,1,C1,product_color,0.5365774515263976,Production / capacity x 6
capacity,CSPPO,15,D_OEM1,downstream,2,C2,product_color,0.5866477507084285,Production / capacity x 6
capacity,CSPPO,15,D_OEM1,downstream,3,C3,product_color,0.6267916397304132,Production / capacity x 6
capacity,CSPPO,15,D_OEM1,downstream,4,C4,product_color,0.6268629396095484,Production / capacity x 6
capacity,CSPPO,15,D_OEM1,downstream,5,C5,product_color,,Production / capacity x 6
capacity,CSPPO,16,D_OEM2,downstream,0,C0,product_color,0.4537973555749878,Production / capacity x 6
capacity,CSPPO,16,D_OEM2,downstream,1,C1,product_color,0.5237951202638124,Production / capacity x 6
capacity,CSPPO,16,D_OEM2,downstream,2,C2,product_color,0.5672711779628058,Production / capacity x 6
capacity,CSPPO,16,D_OEM2,downstream,3,C3,product_color,0.6029049819598458,Production / capacity x 6
capacity,CSPPO,16,D_OEM2,downstream,4,C4,product_color,0.5923870993870872,Production / capacity x 6
capacity,CSPPO,16,D_OEM2,downstream,5,C5,product_color,0.6563813815863864,Production / capacity x 6
capacity,CSPPO,17,D_OEM3,downstream,0,C0,product_color,0.4590997459363344,Production / capacity x 6
capacity,CSPPO,17,D_OEM3,downstream,1,C1,product_color,0.5058105658748875,Production / capacity x 6
capacity,CSPPO,17,D_OEM3,downstream,2,C2,product_color,0.5447805901535706,Production / capacity x 6
capacity,CSPPO,17,D_OEM3,downstream,3,C3,product_color,0.5756901622218624,Production / capacity x 6
capacity,CSPPO,17,D_OEM3,downstream,4,C4,product_color,0.5195520495913464,Production / capacity x 6
capacity,CSPPO,17,D_OEM3,downstream,5,C5,product_color,0.649280840212053,Production / capacity x 6
capacity,CSPPO,18,D_OEM4,downstream,0,C0,product_color,0.43874897103785526,Production / capacity x 6
capacity,CSPPO,18,D_OEM4,downstream,1,C1,product_color,0.47636187360982374,Production / capacity x 6
capacity,CSPPO,18,D_OEM4,downstream,2,C2,product_color,0.5003098331282267,Production / capacity x 6
capacity,CSPPO,18,D_OEM4,downstream,3,C3,product_color,0.5484725487176982,Production / capacity x 6
capacity,CSPPO,18,D_OEM4,downstream,4,C4,product_color,0.5324946550530576,Production / capacity x 6
capacity,CSPPO,18,D_OEM4,downstream,5,C5,product_color,0.6080313889051452,Production / capacity x 6
capacity,CSPPO,19,D_RS1,downstream,0,C0,product_color,0.49750198507754817,Production / capacity x 6
capacity,CSPPO,19,D_RS1,downstream,1,C1,product_color,0.549512687734689,Production / capacity x 6
capacity,CSPPO,19,D_RS1,downstream,2,C2,product_color,0.5906647134263496,Production / capacity x 6
capacity,CSPPO,19,D_RS1,downstream,3,C3,product_color,0.6283895274268494,Production / capacity x 6
capacity,CSPPO,19,D_RS1,downstream,4,C4,product_color,0.6253767507084755,Production / capacity x 6
capacity,CSPPO,19,D_RS1,downstream,5,C5,product_color,0.732981760881777,Production / capacity x 6
capacity,CSPPO,20,D_RS2,downstream,0,C0,product_color,0.365461369335573,Production / capacity x 6
capacity,CSPPO,20,D_RS2,downstream,1,C1,product_color,0.414287961276843,Production / capacity x 6
capacity,CSPPO,20,D_RS2,downstream,2,C2,product_color,0.4624910076152886,Production / capacity x 6
capacity,CSPPO,20,D_RS2,downstream,3,C3,product_color,0.509933782103709,Production / capacity x 6
capacity,CSPPO,20,D_RS2,downstream,4,C4,product_color,0.5489253638861952,Production / capacity x 6
capacity,CSPPO,20,D_RS2,downstream,5,C5,product_color,,Production / capacity x 6
capacity,CSPPO,21,D_RS3,downstream,0,C0,product_color,0.3764314944884292,Production / capacity x 6
capacity,CSPPO,21,D_RS3,downstream,1,C1,product_color,0.42207300564954237,Production / capacity x 6
capacity,CSPPO,21,D_RS3,downstream,2,C2,product_color,0.4662756748495134,Production / capacity x 6
capacity,CSPPO,21,D_RS3,downstream,3,C3,product_color,0.5004999903738492,Production / capacity x 6
capacity,CSPPO,21,D_RS3,downstream,4,C4,product_color,0.5371265876183562,Production / capacity x 6
capacity,CSPPO,21,D_RS3,downstream,5,C5,product_color,0.599690045816586,Production / capacity x 6
capacity,CSPPO,22,D_IC1,downstream,0,C0,product_color,0.385919653770741,Production / capacity x 6
capacity,CSPPO,22,D_IC1,downstream,1,C1,product_color,0.42906834741112077,Production / capacity x 6
capacity,CSPPO,22,D_IC1,downstream,2,C2,product_color,0.46761983221540737,Production / capacity x 6
capacity,CSPPO,22,D_IC1,downstream,3,C3,product_color,0.5043597934110756,Production / capacity x 6
capacity,CSPPO,22,D_IC1,downstream,4,C4,product_color,0.520418535951243,Production / capacity x 6
capacity,CSPPO,22,D_IC1,downstream,5,C5,product_color,0.587593624308069,Production / capacity x 6
capacity,CSPPO,23,D_IC2,downstream,0,C0,product_color,0.48428511437018884,Production / capacity x 6
capacity,CSPPO,23,D_IC2,downstream,1,C1,product_color,0.5319792303091164,Production / capacity x 6
capacity,CSPPO,23,D_IC2,downstream,2,C2,product_color,0.576050469048492,Production / capacity x 6
capacity,CSPPO,23,D_IC2,downstream,3,C3,product_color,0.5711398940937624,Production / capacity x 6
capacity,CSPPO,23,D_IC2,downstream,4,C4,product_color,0.621908017028016,Production / capacity x 6
capacity,CSPPO,23,D_IC2,downstream,5,C5,product_color,0.5499123218316913,Production / capacity x 6
capacity,Random,0,U_FQ,upstream,0,C0,product_color,0.418328011521375,Production / capacity x 6
capacity,Random,0,U_FQ,upstream,1,C1,product_color,0.461473553795412,Production / capacity x 6
capacity,Random,0,U_FQ,upstream,2,C2,product_color,0.48712305847361337,Production / capacity x 6
capacity,Random,0,U_FQ,upstream,3,C3,product_color,0.5709006471550098,Production / capacity x 6
capacity,Random,0,U_FQ,upstream,4,C4,product_color,0.5510337849841986,Production / capacity x 6
capacity,Random,0,U_FQ,upstream,5,C5,product_color,0.6076292006383794,Production / capacity x 6
capacity,Random,1,U_BX,upstream,0,C0,product_color,0.4275249946676454,Production / capacity x 6
capacity,Random,1,U_BX,upstream,1,C1,product_color,0.4953555419171982,Production / capacity x 6
capacity,Random,1,U_BX,upstream,2,C2,product_color,0.5346365718598765,Production / capacity x 6
capacity,Random,1,U_BX,upstream,3,C3,product_color,0.548856222889836,Production / capacity x 6
capacity,Random,1,U_BX,upstream,4,C4,product_color,0.5935493714938049,Production / capacity x 6
capacity,Random,1,U_BX,upstream,5,C5,product_color,0.588865361474499,Production / capacity x 6
capacity,Random,2,U_TL,upstream,0,C0,product_color,0.524850569097297,Production / capacity x 6
capacity,Random,2,U_TL,upstream,1,C1,product_color,0.5582853519948978,Production / capacity x 6
capacity,Random,2,U_TL,upstream,2,C2,product_color,0.5707136290532435,Production / capacity x 6
capacity,Random,2,U_TL,upstream,3,C3,product_color,0.6217361916541254,Production / capacity x 6
capacity,Random,2,U_TL,upstream,4,C4,product_color,0.6631727913774984,Production / capacity x 6
capacity,Random,2,U_TL,upstream,5,C5,product_color,0.687812540233623,Production / capacity x 6
capacity,Random,3,U_WS,upstream,0,C0,product_color,0.509092473897399,Production / capacity x 6
capacity,Random,3,U_WS,upstream,1,C1,product_color,0.5219040234347262,Production / capacity x 6
capacity,Random,3,U_WS,upstream,2,C2,product_color,0.5495752700310785,Production / capacity x 6
capacity,Random,3,U_WS,upstream,3,C3,product_color,0.5959621906321295,Production / capacity x 6
capacity,Random,3,U_WS,upstream,4,C4,product_color,0.6972866134603986,Production / capacity x 6
capacity,Random,3,U_WS,upstream,5,C5,product_color,0.6544252786348446,Production / capacity x 6
capacity,Random,4,M_TJ,midstream,0,C0,product_color,,Production / capacity x 6
capacity,Random,4,M_TJ,midstream,1,C1,product_color,0.22781627773964158,Production / capacity x 6
capacity,Random,4,M_TJ,midstream,2,C2,product_color,0.2711043558888912,Production / capacity x 6
capacity,Random,4,M_TJ,midstream,3,C3,product_color,0.27328462859627456,Production / capacity x 6
capacity,Random,4,M_TJ,midstream,4,C4,product_color,0.3112985543137896,Production / capacity x 6
capacity,Random,4,M_TJ,midstream,5,C5,product_color,0.2986428794336592,Production / capacity x 6
capacity,Random,5,M_SH,midstream,0,C0,product_color,0.25614867862709156,Production / capacity x 6
capacity,Random,5,M_SH,midstream,1,C1,product_color,0.2513300244453678,Production / capacity x 6
capacity,Random,5,M_SH,midstream,2,C2,product_color,0.2821117395530382,Production / capacity x 6
capacity,Random,5,M_SH,midstream,3,C3,product_color,0.2861605558509504,Production / capacity x 6
capacity,Random,5,M_SH,midstream,4,C4,product_color,0.32186505652804265,Production / capacity x 6
capacity,Random,5,M_SH,midstream,5,C5,product_color,0.307361473378806,Production / capacity x 6
capacity,Random,6,M_WS,midstream,0,C0,product_color,0.23921810071855082,Production / capacity x 6
capacity,Random,6,M_WS,midstream,1,C1,product_color,0.2435460481196904,Production / capacity x 6
capacity,Random,6,M_WS,midstream,2,C2,product_color,0.2705107784977338,Production / capacity x 6
capacity,Random,6,M_WS,midstream,3,C3,product_color,0.2778376910536572,Production / capacity x 6
capacity,Random,6,M_WS,midstream,4,C4,product_color,0.3051682186384416,Production / capacity x 6
capacity,Random,6,M_WS,midstream,5,C5,product_color,0.2916812770806384,Production / capacity x 6
capacity,Random,7,M_HB,midstream,0,C0,product_color,0.2275671279120888,Production / capacity x 6
capacity,Random,7,M_HB,midstream,1,C1,product_color,0.2270037930771162,Production / capacity x 6
capacity,Random,7,M_HB,midstream,2,C2,product_color,0.26610201005938083,Production / capacity x 6
capacity,Random,7,M_HB,midstream,3,C3,product_color,0.2640402911850618,Production / capacity x 6
capacity,Random,7,M_HB,midstream,4,C4,product_color,0.3016942472094348,Production / capacity x 6
capacity,Random,7,M_HB,midstream,5,C5,product_color,0.27343317881952656,Production / capacity x 6
capacity,Random,8,M_GZ,midstream,0,C0,product_color,0.222676842854094,Production / capacity x 6
capacity,Random,8,M_GZ,midstream,1,C1,product_color,0.22135368881428502,Production / capacity x 6
capacity,Random,8,M_GZ,midstream,2,C2,product_color,0.25517161888196277,Production / capacity x 6
capacity,Random,8,M_GZ,midstream,3,C3,product_color,0.25961109587927583,Production / capacity x 6
capacity,Random,8,M_GZ,midstream,4,C4,product_color,,Production / capacity x 6
capacity,Random,8,M_GZ,midstream,5,C5,product_color,0.2750509818470058,Production / capacity x 6
capacity,Random,9,M_FQ,midstream,0,C0,product_color,0.24714078382076882,Production / capacity x 6
capacity,Random,9,M_FQ,midstream,1,C1,product_color,0.24866271073123503,Production / capacity x 6
capacity,Random,9,M_FQ,midstream,2,C2,product_color,0.2923182847254846,Production / capacity x 6
capacity,Random,9,M_FQ,midstream,3,C3,product_color,0.284742843801219,Production / capacity x 6
capacity,Random,9,M_FQ,midstream,4,C4,product_color,0.33759924151572485,Production / capacity x 6
capacity,Random,9,M_FQ,midstream,5,C5,product_color,0.313523379195951,Production / capacity x 6
capacity,Random,10,M_ZZ,midstream,0,C0,product_color,0.23775896145703018,Production / capacity x 6
capacity,Random,10,M_ZZ,midstream,1,C1,product_color,0.24272147505348418,Production / capacity x 6
capacity,Random,10,M_ZZ,midstream,2,C2,product_color,0.2729479758406536,Production / capacity x 6
capacity,Random,10,M_ZZ,midstream,3,C3,product_color,0.2705836269905526,Production / capacity x 6
capacity,Random,10,M_ZZ,midstream,4,C4,product_color,0.32154695550014223,Production / capacity x 6
capacity,Random,10,M_ZZ,midstream,5,C5,product_color,0.30235939220250896,Production / capacity x 6
capacity,Random,11,M_SY,midstream,0,C0,product_color,0.2377633312537386,Production / capacity x 6
capacity,Random,11,M_SY,midstream,1,C1,product_color,0.2231463455002182,Production / capacity x 6
capacity,Random,11,M_SY,midstream,2,C2,product_color,0.25763308877756097,Production / capacity x 6
capacity,Random,11,M_SY,midstream,3,C3,product_color,0.2589844737691524,Production / capacity x 6
capacity,Random,11,M_SY,midstream,4,C4,product_color,0.29796520988562236,Production / capacity x 6
capacity,Random,11,M_SY,midstream,5,C5,product_color,0.2720523859327728,Production / capacity x 6
capacity,Random,12,M_SZ,midstream,0,C0,product_color,0.2233917634150968,Production / capacity x 6
capacity,Random,12,M_SZ,midstream,1,C1,product_color,0.22687908641526,Production / capacity x 6
capacity,Random,12,M_SZ,midstream,2,C2,product_color,,Production / capacity x 6
capacity,Random,12,M_SZ,midstream,3,C3,product_color,0.26463280178329496,Production / capacity x 6
capacity,Random,12,M_SZ,midstream,4,C4,product_color,0.2847357192293784,Production / capacity x 6
capacity,Random,12,M_SZ,midstream,5,C5,product_color,0.2762779040400276,Production / capacity x 6
capacity,Random,13,M_CC,midstream,0,C0,product_color,0.21622015592880722,Production / capacity x 6
capacity,Random,13,M_CC,midstream,1,C1,product_color,0.20890221116694419,Production / capacity x 6
capacity,Random,13,M_CC,midstream,2,C2,product_color,0.23873045614681862,Production / capacity x 6
capacity,Random,13,M_CC,midstream,3,C3,product_color,0.2386755171060732,Production / capacity x 6
capacity,Random,13,M_CC,midstream,4,C4,product_color,0.2792291688306696,Production / capacity x 6
capacity,Random,13,M_CC,midstream,5,C5,product_color,0.2592153822502956,Production / capacity x 6
capacity,Random,14,M_CQ,midstream,0,C0,product_color,0.2436526699161516,Production / capacity x 6
capacity,Random,14,M_CQ,midstream,1,C1,product_color,0.2463022021439496,Production / capacity x 6
capacity,Random,14,M_CQ,midstream,2,C2,product_color,0.276203356039167,Production / capacity x 6
capacity,Random,14,M_CQ,midstream,3,C3,product_color,0.2761550528615928,Production / capacity x 6
capacity,Random,14,M_CQ,midstream,4,C4,product_color,0.31815118544412957,Production / capacity x 6
capacity,Random,14,M_CQ,midstream,5,C5,product_color,0.29553502418187,Production / capacity x 6
capacity,Random,15,D_OEM1,downstream,0,C0,product_color,0.3714346997932356,Production / capacity x 6
capacity,Random,15,D_OEM1,downstream,1,C1,product_color,0.397554162216756,Production / capacity x 6
capacity,Random,15,D_OEM1,downstream,2,C2,product_color,0.42244625671478153,Production / capacity x 6
capacity,Random,15,D_OEM1,downstream,3,C3,product_color,0.4641762974252454,Production / capacity x 6
capacity,Random,15,D_OEM1,downstream,4,C4,product_color,0.48892675631013904,Production / capacity x 6
capacity,Random,15,D_OEM1,downstream,5,C5,product_color,,Production / capacity x 6
capacity,Random,16,D_OEM2,downstream,0,C0,product_color,0.3520264108312962,Production / capacity x 6
capacity,Random,16,D_OEM2,downstream,1,C1,product_color,0.3803394359274894,Production / capacity x 6
capacity,Random,16,D_OEM2,downstream,2,C2,product_color,0.380971995370662,Production / capacity x 6
capacity,Random,16,D_OEM2,downstream,3,C3,product_color,0.40393488963011226,Production / capacity x 6
capacity,Random,16,D_OEM2,downstream,4,C4,product_color,0.4323816179030982,Production / capacity x 6
capacity,Random,16,D_OEM2,downstream,5,C5,product_color,0.5289175093747229,Production / capacity x 6
capacity,Random,17,D_OEM3,downstream,0,C0,product_color,0.3249256531075062,Production / capacity x 6
capacity,Random,17,D_OEM3,downstream,1,C1,product_color,0.3467964565705314,Production / capacity x 6
capacity,Random,17,D_OEM3,downstream,2,C2,product_color,0.3733818386048034,Production / capacity x 6
capacity,Random,17,D_OEM3,downstream,3,C3,product_color,0.4015608479858448,Production / capacity x 6
capacity,Random,17,D_OEM3,downstream,4,C4,product_color,0.41666742712683247,Production / capacity x 6
capacity,Random,17,D_OEM3,downstream,5,C5,product_color,0.531305207956719,Production / capacity x 6
capacity,Random,18,D_OEM4,downstream,0,C0,product_color,0.30944911270221,Production / capacity x 6
capacity,Random,18,D_OEM4,downstream,1,C1,product_color,0.3413448649995774,Production / capacity x 6
capacity,Random,18,D_OEM4,downstream,2,C2,product_color,0.34387858552579376,Production / capacity x 6
capacity,Random,18,D_OEM4,downstream,3,C3,product_color,0.39733170759272096,Production / capacity x 6
capacity,Random,18,D_OEM4,downstream,4,C4,product_color,0.4014814485168966,Production / capacity x 6
capacity,Random,18,D_OEM4,downstream,5,C5,product_color,0.4697989112752104,Production / capacity x 6
capacity,Random,19,D_RS1,downstream,0,C0,product_color,0.3700788840668862,Production / capacity x 6
capacity,Random,19,D_RS1,downstream,1,C1,product_color,0.4060968917376774,Production / capacity x 6
capacity,Random,19,D_RS1,downstream,2,C2,product_color,0.4346454869960682,Production / capacity x 6
capacity,Random,19,D_RS1,downstream,3,C3,product_color,0.41825277831902397,Production / capacity x 6
capacity,Random,19,D_RS1,downstream,4,C4,product_color,0.42027039058653415,Production / capacity x 6
capacity,Random,19,D_RS1,downstream,5,C5,product_color,0.5464678773188658,Production / capacity x 6
capacity,Random,20,D_RS2,downstream,0,C0,product_color,0.320165562603759,Production / capacity x 6
capacity,Random,20,D_RS2,downstream,1,C1,product_color,0.353810023782339,Production / capacity x 6
capacity,Random,20,D_RS2,downstream,2,C2,product_color,0.37264476604379637,Production / capacity x 6
capacity,Random,20,D_RS2,downstream,3,C3,product_color,0.4163710690619826,Production / capacity x 6
capacity,Random,20,D_RS2,downstream,4,C4,product_color,0.4350166431978138,Production / capacity x 6
capacity,Random,20,D_RS2,downstream,5,C5,product_color,,Production / capacity x 6
capacity,Random,21,D_RS3,downstream,0,C0,product_color,0.2996537177610954,Production / capacity x 6
capacity,Random,21,D_RS3,downstream,1,C1,product_color,0.34306620466205395,Production / capacity x 6
capacity,Random,21,D_RS3,downstream,2,C2,product_color,0.3639290647232628,Production / capacity x 6
capacity,Random,21,D_RS3,downstream,3,C3,product_color,0.39031041704418,Production / capacity x 6
capacity,Random,21,D_RS3,downstream,4,C4,product_color,0.390147776007525,Production / capacity x 6
capacity,Random,21,D_RS3,downstream,5,C5,product_color,0.4576860593753124,Production / capacity x 6
capacity,Random,22,D_IC1,downstream,0,C0,product_color,0.297657988216443,Production / capacity x 6
capacity,Random,22,D_IC1,downstream,1,C1,product_color,0.33894380833782844,Production / capacity x 6
capacity,Random,22,D_IC1,downstream,2,C2,product_color,0.33155906748254105,Production / capacity x 6
capacity,Random,22,D_IC1,downstream,3,C3,product_color,0.38012672875885556,Production / capacity x 6
capacity,Random,22,D_IC1,downstream,4,C4,product_color,0.3907517122440852,Production / capacity x 6
capacity,Random,22,D_IC1,downstream,5,C5,product_color,0.4571352968519754,Production / capacity x 6
capacity,Random,23,D_IC2,downstream,0,C0,product_color,0.3680917173415938,Production / capacity x 6
capacity,Random,23,D_IC2,downstream,1,C1,product_color,0.3776937280398606,Production / capacity x 6
capacity,Random,23,D_IC2,downstream,2,C2,product_color,0.39741218619614394,Production / capacity x 6
capacity,Random,23,D_IC2,downstream,3,C3,product_color,0.4302388266733056,Production / capacity x 6
capacity,Random,23,D_IC2,downstream,4,C4,product_color,0.45227434476414957,Production / capacity x 6
capacity,Random,23,D_IC2,downstream,5,C5,product_color,0.497282421129831,Production / capacity x 6
capacity,Rule-based,0,U_FQ,upstream,0,C0,product_color,0.5222603197285782,Production / capacity x 6
capacity,Rule-based,0,U_FQ,upstream,1,C1,product_color,0.5827297050338975,Production / capacity x 6
